year,total_precipitation,mean_air_temperature,mean_wind_speed,mean_relative_humidity,total_sunshine_duration,solar_radiation,percentage_possible_sunshine
Jan-10,75.5,-3.4,5.5,75,40.4,3.8,14
Feb-10,109.5,-4.9,4.1,74,48.8,6.2,17
Mar-10,100.5,-1.4,4.7,68,108,10.5,29
Apr-10,94,3.5,4.3,77,146.2,13.9,36
May-10,76.5,7.3,4.9,86,168.6,16.5,37
Jun-10,31.5,15,4,87,204.7,20.8,44
Jul-10,233.5,18.1,3.3,91,73.8,12.3,16
Aug-10,99.5,22.4,4.1,85,174.1,16.3,40
Sep-10,170.5,18.4,4.1,72,205,14.5,55
Oct-10,97,11.4,3.7,72,156.1,9.2,46
Nov-10,108.5,4.8,5.2,71,62.8,4.3,22
Dec-10,116,-1.1,5.1,76,31.1,2.8,11
Jan-11,64.5,-5.1,4.8,75,55.9,4.7,20
Feb-11,39.5,-2.2,4.4,70,85.2,7.7,30
Mar-11,58,-0.6,3.9,69,153.3,12.8,42
Apr-11,92,4.4,5.7,77,143.2,14.3,36
May-11,68.5,6.5,4.7,85,138.6,15.1,30
Jun-11,67,12.8,4.1,89,118.7,16.5,25
Jul-11,51,17.5,3.3,89,136.6,16.6,29
Aug-11,56.5,21.5,3.6,83,174.3,15.6,40
Sep-11,312,18.3,4.5,77,168.9,12.1,45
Oct-11,116,12.1,4.7,69,143,8.3,42
Nov-11,92.5,4.9,4.9,68,80.1,4.5,28
Dec-11,186.5,-2.3,5,74,32.7,2.8,12
Jan-12,79.5,-5.4,4.7,72,41.3,4.1,15
Feb-12,76.5,-6.4,5,69,73.6,7,25
Mar-12,52,-2.4,4.5,72,134.1,11.6,37
Apr-12,43,4.6,3.9,75,198.9,16.5,49
May-12,64.5,8.9,4.1,83,140.4,15.6,31
Jun-12,23.5,12.6,3.9,82,211.5,20.3,45
Jul-12,107,17.2,3.7,88,119.3,15.2,25
Aug-12,129.5,20.4,3.7,84,155.7,15.4,36
Sep-12,169,19.4,4.1,82,125.7,10.5,33
Oct-12,110.5,11.8,4.8,68,124.1,8.2,37
Nov-12,157,3.8,6.2,76,36.1,3.3,13
Dec-12,147.5,-3,5.5,73,16.7,2.4,6
Jan-13,124,-5.8,5.6,73,38.7,3.8,14
Feb-13,49,-5.1,5.3,71,62.6,7,22
Mar-13,69.5,-1.3,5.7,67,97,9.9,26
Apr-13,78,4.5,4.9,74,165,15.2,41
May-13,52,7.2,4.7,84,117.5,14.4,26
Jun-13,29,14,4,83,186.1,19.4,40
Jul-13,23.5,18.9,3.9,85,208.9,20.4,44
Aug-13,116,20.2,4.5,84,113.6,12.7,26
Sep-13,110,17.6,4.1,73,150.8,11.8,40
Oct-13,106.5,11.8,4.8,70,139.9,8.6,41
Nov-13,194.5,5.5,4.7,68,71,4.4,25
Dec-13,93.5,-0.2,5.9,70,33,2.8,12
Jan-14,105,-5.3,4.4,69,44.1,4,16
Feb-14,44,-4.2,5.6,70,96.7,8,34
Mar-14,20,-1.2,4.9,69,189.9,14.1,52
Apr-14,34.5,3.9,5.6,73,217.2,18,54
May-14,62,8.7,5.2,82,141.5,15.9,31
Jun-14,144.5,13.9,4.2,82,176.1,18.7,38
Jul-14,44,19.2,4.1,85,162.7,17.6,34
Aug-14,275.5,20,3.8,83,182.1,16.3,42
Sep-14,256.5,16.7,4.3,76,158.5,12.4,42
Oct-14,58.5,11,4.8,64,145.1,8.8,43
Nov-14,103.5,4.8,4.5,67,100.1,5.1,35
Dec-14,143,-2.3,5.8,69,26.6,2.9,10
Jan-15,55.5,-2.9,5.2,70,51.2,4,18
Feb-15,48.5,-1.7,6,73,83.3,7.1,29
Mar-15,105.5,2.3,5,78,118.4,10.1,32
Apr-15,40,5.9,5.4,70,178,15.6,44
May-15,82,9.9,5.1,74,186,17.9,41
Jun-15,132,12.1,4.5,85,125.9,15.8,27
Jul-15,205.5,17.6,4.3,86,130.1,15.4,28
Aug-15,20.5,19,4.2,82,135.5,14.8,31
Sep-15,103.5,17.3,3.8,76,173.3,13.4,46
Oct-15,182.5,10.4,5.9,62,121.6,7.9,36
Nov-15,62.5,3.7,5.3,67,84.8,5.1,30
Dec-15,110,-0.2,4.2,65,49.4,3,18
Jan-16,118.5,-5.2,5.2,64,23,3.4,8
Feb-16,115.5,-4.7,4.7,68,34.2,5.3,11
Mar-16,40,0.5,4.2,65,142.8,12,39
Apr-16,82.5,4.3,5.3,75,150,14.2,37
May-16,41.5,11.4,5.1,68,245.4,19.9,53
Jun-16,146,12.5,4.1,83,162.8,17.4,35
Jul-16,154,17.4,4.1,87,164.1,17.4,35
Aug-16,112,21.6,4.4,82,170.1,15.7,39
Sep-16,316,16.6,4.3,78,153.6,11.9,41
Oct-16,132.5,9.5,5,56,92.1,6.6,27
Nov-16,129.5,0.1,4.3,65,25.8,3.3,9
Dec-16,34.5,-2.6,5.3,63,37.2,3.2,14
Jan-17,47.5,-4.3,4.9,66,42.4,4.1,15
Feb-17,37.5,-3,4.6,67,55.2,6.6,19
Mar-17,43,-0.4,4,69,186.8,13.7,51
Apr-17,68.5,5.3,5.3,70,180.6,15.8,45
May-17,33,9.8,5.6,76,184.1,18.2,40
Jun-17,86.5,12,5.4,83,118.4,15,25
Jul-17,97,18.4,4.9,84,128.9,15.6,27
Aug-17,70,18.6,4.4,80,161.5,15.6,37
Sep-17,115,16.9,4.4,73,218.2,14.6,58
Oct-17,104,9.9,4.8,65,149.8,8.8,44
Nov-17,177.5,2.5,4.9,72,46.5,3.6,16
Dec-17,153,-3,4.9,72,29.6,2.9,11
Jan-18,122,-3.6,5.2,75,26.6,3.4,9
Feb-18,75,-5.3,5,71,55.9,6.4,19
Mar-18,95.5,0.1,5.2,72,143.3,12.1,39
Apr-18,32,5.6,5.2,72,195.9,16.2,49
May-18,102,9.5,4.4,82,170.7,17,37
Jun-18,114,12.7,5.2,84,110.1,14.6,24
Jul-18,121.5,16.9,4.7,88,158.3,18,34
Aug-18,94,18.3,4.5,85,162,15.1,37
Sep-18,56,17.4,4.1,73,218.2,15.6,58
Oct-18,160,12.8,4.5,67,154.1,9.3,45
Nov-18,70,5,4.1,65,55.3,4.4,19
Dec-18,72,-2,5.1,68,20.6,2.6,8
Jan-19,56,-4.1,5.2,70,35.5,3.8,13
Feb-19,46.5,-4.5,3.9,67,91.2,7.7,32
Mar-19,35.5,0.1,4.5,75,154.5,11.8,42
Apr-19,11,5.2,4.7,72,229.2,18.5,57
May-19,48,12.6,5.3,74,263,20.9,57
Jun-19,48.5,13.3,5,86,139.2,17.8,30
Jul-19,88,18,3.8,89,128.3,15.8,27
Aug-19,163.5,18.3,5.1,88,101.8,12,23
Sep-19,36.5,18.1,4.3,73,208.9,15.1,56
Oct-19,55,12.4,4.8,69,149.5,9.1,44
Nov-19,69,2.6,5.2,65,42.9,3.6,15
Dec-19,91.5,-2.4,4.9,70,24.6,2.7,9
